event_slug,market_slug,question,over_volume,under_volume
nba-finals-total-points-leader-20260603024024282,will-josh-hart-lead-the-2026-nba-finals-in-total-points-20260603023710468,Will Josh Hart lead the 2026 NBA Finals in total points?,3.34,667.37
nba-finals-total-points-leader-20260603024024282,will-jalen-brunson-lead-the-2026-nba-finals-in-total-points-20260603023710469,Will Jalen Brunson lead the 2026 NBA Finals in total points?,1682.95,410.68
nba-finals-total-points-leader-20260603024024282,will-karl-anthony-towns-lead-the-2026-nba-finals-in-total-points-20260603023710470,Will Karl-Anthony Towns lead the 2026 NBA Finals in total points?,2.09,485.49
nba-finals-total-points-leader-20260603024024282,will-mikal-bridges-lead-the-2026-nba-finals-in-total-points-20260603023710471,Will Mikal Bridges lead the 2026 NBA Finals in total points?,0.14,586.0
nba-finals-total-points-leader-20260603024024282,will-og-anunoby-lead-the-2026-nba-finals-in-total-points-20260603023710472,Will OG Anunoby lead the 2026 NBA Finals in total points?,4.45,2372.08
nba-finals-total-points-leader-20260603024024282,will-victor-wembanyama-lead-the-2026-nba-finals-in-total-points-20260603023710473,Will Victor Wembanyama lead the 2026 NBA Finals in total points?,221.55,1213.63
nba-finals-total-points-leader-20260603024024282,will-stephon-castle-lead-the-2026-nba-finals-in-total-points-20260603023710474,Will Stephon Castle lead the 2026 NBA Finals in total points?,11.07,529.19
nba-finals-total-points-leader-20260603024024282,will-deaaron-fox-lead-the-2026-nba-finals-in-total-points-20260603023710475,Will De'Aaron Fox lead the 2026 NBA Finals in total points?,3.68,765.53
nba-finals-total-points-leader-20260603024024282,will-devin-vassell-lead-the-2026-nba-finals-in-total-points-20260603023710476,Will Devin Vassell lead the 2026 NBA Finals in total points?,0.08,446.46
nba-finals-total-points-leader-20260603024024282,will-julian-champagnie-lead-the-2026-nba-finals-in-total-points-20260603023710477,Will Julian Champagnie lead the 2026 NBA Finals in total points?,0.49,610.13
nba-finals-total-points-leader-20260603024024282,will-dylan-harper-lead-the-2026-nba-finals-in-total-points-20260603023710478,Will Dylan Harper lead the 2026 NBA Finals in total points?,3.34,942.32
nba-finals-total-points-leader-20260603024024282,will-landry-shamet-lead-the-2026-nba-finals-in-total-points-20260603023710479,Will Landry Shamet lead the 2026 NBA Finals in total points?,1.28,604.86
nba-finals-total-points-leader-20260603024024282,will-harrison-barnes-lead-the-2026-nba-finals-in-total-points-20260603023710480,Will Harrison Barnes lead the 2026 NBA Finals in total points?,0.01,568.41
nba-finals-total-points-leader-20260603024024282,will-carter-bryant-lead-the-2026-nba-finals-in-total-points-20260603023710481,Will Carter Bryant lead the 2026 NBA Finals in total points?,0.02,842.54
nba-finals-total-points-leader-20260603024024282,will-jose-alvarado-lead-the-2026-nba-finals-in-total-points-20260603023710482,Will Jose Alvarado lead the 2026 NBA Finals in total points?,1.79,837.12
nba-finals-total-points-leader-20260603024024282,will-keldon-johnson-lead-the-2026-nba-finals-in-total-points-20260603023710483,Will Keldon Johnson lead the 2026 NBA Finals in total points?,6.39,895.3
nba-finals-total-points-leader-20260603024024282,will-luke-kornet-lead-the-2026-nba-finals-in-total-points-20260603023710484,Will Luke Kornet lead the 2026 NBA Finals in total points?,3.62,917.84
nba-finals-total-points-leader-20260603024024282,will-miles-mcbride-lead-the-2026-nba-finals-in-total-points-20260603023710485,Will Miles McBride lead the 2026 NBA Finals in total points?,3.95,849.39
nba-finals-total-points-leader-20260603024024282,will-mitchell-robinson-lead-the-2026-nba-finals-in-total-points-20260603023710486,Will Mitchell Robinson lead the 2026 NBA Finals in total points?,0.0,676.5
nba-finals-total-points-leader-20260603024024282,will-jordan-clarkson-lead-the-2026-nba-finals-in-total-points-20260603023710487,Will Jordan Clarkson lead the 2026 NBA Finals in total points?,0.17,490.93
nba-finals-total-points-leader-20260603024024282,will-player-a-lead-the-2026-nba-finals-in-total-points-20260603023710488,Will Player A lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-player-b-lead-the-2026-nba-finals-in-total-points-20260603023710489,Will Player B lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-player-c-lead-the-2026-nba-finals-in-total-points-20260603023710490,Will Player C lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-player-d-lead-the-2026-nba-finals-in-total-points-20260603023710491,Will Player D lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-player-e-lead-the-2026-nba-finals-in-total-points-20260603023710492,Will Player E lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-player-f-lead-the-2026-nba-finals-in-total-points-20260603023710493,Will Player F lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-player-g-lead-the-2026-nba-finals-in-total-points-20260603023710494,Will Player G lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-player-h-lead-the-2026-nba-finals-in-total-points-20260603023710495,Will Player H lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-player-i-lead-the-2026-nba-finals-in-total-points-20260603023710496,Will Player I lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-player-j-lead-the-2026-nba-finals-in-total-points-20260603023710497,Will Player J lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-points-leader-20260603024024282,will-someone-else-lead-the-2026-nba-finals-in-total-points-20260603023710498,Will someone else lead the 2026 NBA Finals in total points?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-josh-hart-lead-the-2026-nba-finals-in-total-assists-20260603023900359,Will Josh Hart lead the 2026 NBA Finals in total assists?,3.1,136.6
nba-finals-total-assists-leader-20260603024024282,will-jalen-brunson-lead-the-2026-nba-finals-in-total-assists-20260603023900360,Will Jalen Brunson lead the 2026 NBA Finals in total assists?,4.96,136.55
nba-finals-total-assists-leader-20260603024024282,will-karl-anthony-towns-lead-the-2026-nba-finals-in-total-assists-20260603023900361,Will Karl-Anthony Towns lead the 2026 NBA Finals in total assists?,0.09,122.08
nba-finals-total-assists-leader-20260603024024282,will-mikal-bridges-lead-the-2026-nba-finals-in-total-assists-20260603023900362,Will Mikal Bridges lead the 2026 NBA Finals in total assists?,0.09,118.48
nba-finals-total-assists-leader-20260603024024282,will-og-anunoby-lead-the-2026-nba-finals-in-total-assists-20260603023900363,Will OG Anunoby lead the 2026 NBA Finals in total assists?,0.09,170.34
nba-finals-total-assists-leader-20260603024024282,will-victor-wembanyama-lead-the-2026-nba-finals-in-total-assists-20260603023900364,Will Victor Wembanyama lead the 2026 NBA Finals in total assists?,0.09,137.23
nba-finals-total-assists-leader-20260603024024282,will-stephon-castle-lead-the-2026-nba-finals-in-total-assists-20260603023900365,Will Stephon Castle lead the 2026 NBA Finals in total assists?,0.09,128.44
nba-finals-total-assists-leader-20260603024024282,will-deaaron-fox-lead-the-2026-nba-finals-in-total-assists-20260603023900366,Will De'Aaron Fox lead the 2026 NBA Finals in total assists?,452.88,16.95
nba-finals-total-assists-leader-20260603024024282,will-devin-vassell-lead-the-2026-nba-finals-in-total-assists-20260603023900367,Will Devin Vassell lead the 2026 NBA Finals in total assists?,0.09,128.38
nba-finals-total-assists-leader-20260603024024282,will-julian-champagnie-lead-the-2026-nba-finals-in-total-assists-20260603023900368,Will Julian Champagnie lead the 2026 NBA Finals in total assists?,1.26,250.45
nba-finals-total-assists-leader-20260603024024282,will-dylan-harper-lead-the-2026-nba-finals-in-total-assists-20260603023900369,Will Dylan Harper lead the 2026 NBA Finals in total assists?,0.09,138.3
nba-finals-total-assists-leader-20260603024024282,will-landry-shamet-lead-the-2026-nba-finals-in-total-assists-20260603023900370,Will Landry Shamet lead the 2026 NBA Finals in total assists?,0.13,181.05
nba-finals-total-assists-leader-20260603024024282,will-harrison-barnes-lead-the-2026-nba-finals-in-total-assists-20260603023900371,Will Harrison Barnes lead the 2026 NBA Finals in total assists?,0.31,262.67
nba-finals-total-assists-leader-20260603024024282,will-carter-bryant-lead-the-2026-nba-finals-in-total-assists-20260603023900372,Will Carter Bryant lead the 2026 NBA Finals in total assists?,0.09,118.48
nba-finals-total-assists-leader-20260603024024282,will-jose-alvarado-lead-the-2026-nba-finals-in-total-assists-20260603023900373,Will Jose Alvarado lead the 2026 NBA Finals in total assists?,0.09,118.48
nba-finals-total-assists-leader-20260603024024282,will-keldon-johnson-lead-the-2026-nba-finals-in-total-assists-20260603023900374,Will Keldon Johnson lead the 2026 NBA Finals in total assists?,0.1,167.8
nba-finals-total-assists-leader-20260603024024282,will-luke-kornet-lead-the-2026-nba-finals-in-total-assists-20260603023900375,Will Luke Kornet lead the 2026 NBA Finals in total assists?,0.59,532.52
nba-finals-total-assists-leader-20260603024024282,will-miles-mcbride-lead-the-2026-nba-finals-in-total-assists-20260603023900376,Will Miles McBride lead the 2026 NBA Finals in total assists?,0.09,116.36
nba-finals-total-assists-leader-20260603024024282,will-mitchell-robinson-lead-the-2026-nba-finals-in-total-assists-20260603023900377,Will Mitchell Robinson lead the 2026 NBA Finals in total assists?,0.17,98.5
nba-finals-total-assists-leader-20260603024024282,will-jordan-clarkson-lead-the-2026-nba-finals-in-total-assists-20260603023900378,Will Jordan Clarkson lead the 2026 NBA Finals in total assists?,0.09,118.53
nba-finals-total-assists-leader-20260603024024282,will-player-a-lead-the-2026-nba-finals-in-total-assists-20260603023900379,Will Player A lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-player-b-lead-the-2026-nba-finals-in-total-assists-20260603023900380,Will Player B lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-player-c-lead-the-2026-nba-finals-in-total-assists-20260603023900381,Will Player C lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-player-d-lead-the-2026-nba-finals-in-total-assists-20260603023900382,Will Player D lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-player-e-lead-the-2026-nba-finals-in-total-assists-20260603023900383,Will Player E lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-player-f-lead-the-2026-nba-finals-in-total-assists-20260603023900384,Will Player F lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-player-g-lead-the-2026-nba-finals-in-total-assists-20260603023900385,Will Player G lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-player-h-lead-the-2026-nba-finals-in-total-assists-20260603023900386,Will Player H lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-player-i-lead-the-2026-nba-finals-in-total-assists-20260603023900387,Will Player I lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-player-j-lead-the-2026-nba-finals-in-total-assists-20260603023900388,Will Player J lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-assists-leader-20260603024024282,will-someone-else-lead-the-2026-nba-finals-in-total-assists-20260603023900389,Will someone else lead the 2026 NBA Finals in total assists?,0.0,0.0
nba-finals-total-rebounds-leader-20260603024024282,will-josh-hart-lead-the-2026-nba-finals-in-total-rebounds-20260603024025275,Will Josh Hart lead the 2026 NBA Finals in total rebounds?,7.56,622.02
nba-finals-total-rebounds-leader-20260603024024282,will-jalen-brunson-lead-the-2026-nba-finals-in-total-rebounds-20260603024025276,Will Jalen Brunson lead the 2026 NBA Finals in total rebounds?,0.15,400.62
nba-finals-total-rebounds-leader-20260603024024282,will-karl-anthony-towns-lead-the-2026-nba-finals-in-total-rebounds-20260603024025277,Will Karl-Anthony Towns lead the 2026 NBA Finals in total rebounds?,42.11,157.9
nba-finals-total-rebounds-leader-20260603024024282,will-mikal-bridges-lead-the-2026-nba-finals-in-total-rebounds-20260603024025278,Will Mikal Bridges lead the 2026 NBA Finals in total rebounds?,0.25,556.25
nba-finals-total-rebounds-leader-20260603024024282,will-og-anunoby-lead-the-2026-nba-finals-in-total-rebounds-20260603024025279,Will OG Anunoby lead the 2026 NBA Finals in total rebounds?,0.11,921.03
